
Date    RET1      RET2      RET3      RET4      RET5      RET6      RET7      RET8      RET9      RET10      RET11    RET12     RET13      RET14     RET15    RET16      RET17    RET18     RET19      RET20    RET21      RET22     RET23     RET24     RET25     market    SMB      HML       TERM      DEF         MOM
196208  0.105800  0.023100  0.039300  0.006300  0.024800  0.074600  0.015000  0.045800  0.020300  0.019200  0.027600  0.035500  0.031300  0.018400  0.007800  0.027900  0.033200  0.012800  0.033000  0.007500  0.025300  0.019900  0.008600  0.007100  0.029400  0.021100  0.011800 -0.012200  0.016400  0.012000 -0.006300
196209 -0.098600 -0.082500 -0.096300 -0.055400 -0.071000 -0.084400 -0.055400 -0.082100 -0.065100 -0.082300 -0.095900 -0.063800 -0.047200 -0.067900 -0.053200 -0.059500 -0.048800 -0.046900 -0.070000 -0.053300 -0.055000 -0.046800 -0.043400 -0.044200 -0.042500 -0.052200 -0.024300  0.014000  0.004000  0.006800  0.039400
196210 -0.114700 -0.074600 -0.040400 -0.053500 -0.026700 -0.050400 -0.055200 -0.049300 -0.014100 -0.007500 -0.048000 -0.017700 -0.004800 -0.017300 -0.012800 -0.034700 -0.008500 -0.005100 -0.030400  0.010300  0.009800  0.006200  0.001100  0.005200  0.005400 -0.000500 -0.039100  0.012600  0.005800  0.004200  0.007700
196211  0.144800  0.163000  0.116300  0.148000  0.136600  0.147500  0.157800  0.109700  0.142500  0.148900  0.158600  0.116900  0.117300  0.139500  0.124900  0.142800  0.116100  0.115100  0.116800  0.166800  0.108200  0.088500  0.109100  0.108000  0.143500  0.108100  0.023800  0.009700  0.000100  0.004200 -0.072000
196212 -0.024300 -0.055300 -0.006200 -0.025300 -0.030600 -0.031300 -0.009600 -0.011000 -0.026900 -0.041800 -0.033700  0.010300 -0.011100 -0.022700 -0.014600 -0.001000  0.006900  0.011600 -0.013300  0.018300  0.012400  0.023600  0.021400 -0.003700  0.004300  0.009600 -0.039000  0.003500  0.001200  0.000000  0.059000
196301  0.138500  0.107300  0.090700  0.107100  0.102100  0.073900  0.055600  0.077800  0.078300  0.112200  0.061300  0.053000  0.044200  0.087400  0.093300  0.051000  0.045600  0.056500  0.092900  0.066200  0.050800  0.038100  0.031500  0.061700  0.061600  0.049300  0.029800  0.027600 -0.002600  0.003400 -0.020600
196302 -0.034800 -0.036500 -0.009600 -0.010800  0.017500 -0.042300 -0.021100 -0.026000 -0.015700 -0.005900 -0.039900 -0.016100 -0.009800 -0.025400  0.003600 -0.031900 -0.018200 -0.010900 -0.018300 -0.001800 -0.035100 -0.018100 -0.021900 -0.017400 -0.011900 -0.024200  0.003300  0.021600 -0.001500  0.000000  0.025200
196303  0.052700 -0.014000 -0.003000  0.009900  0.020700 -0.003800  0.009700  0.015600  0.027500  0.008100 -0.002700  0.010700  0.010600  0.032400  0.008800  0.017700  0.013400  0.025500  0.038100  0.030500  0.035300  0.025900  0.042500  0.048000  0.054000  0.030600 -0.026800  0.018800 -0.001400  0.000300  0.015800
196304  0.054400  0.010400  0.018400  0.034500  0.038400  0.020900  0.050600  0.005300  0.040400  0.052100  0.033200  0.037600  0.023900  0.030000  0.049200  0.039000  0.029200  0.046600  0.066700  0.049100  0.046800  0.038700  0.057400  0.039300  0.077400  0.044900 -0.013800  0.008800 -0.003700 -0.007600  0.001400
196305  0.040700  0.010100  0.026100  0.037400  0.072000  0.018400  0.025100  0.012900  0.046200  0.046300  0.021100  0.016000  0.018800  0.050900  0.053100  0.013400  0.013100  0.016800  0.040800  0.034700  0.029200 -0.005800  0.013800  0.021600  0.040400  0.017600  0.010100  0.024600 -0.000100  0.002400  0.003700
